"","X","TimeCriteria","RecordID","Time","x","y","Label1","Label2","Label3","Label4","Planet","dis","rad","deg","postime","scorestate","biscorecounter","curstates","comstates","dis_trav"
"159",373,"2nd Quarter",35,549,28,18,"Shot","Score","",NA,"mars",3.16227766016838,-1.24904577239825,-71.565051177078,16,2,1,9,9.2,144.419637213934
"160",385,"2nd Quarter",36,580,32,22,"Shot","Miss","",NA,"mars",5.09901951359278,0.197395559849881,11.3099324740202,9,0,0,10,10,101.267219526796
"161",404,"2nd Quarter",39,766,34,17,"Shot","Miss","",NA,"mars",3,1.5707963267949,90,6,0,0,9,9,103.190355907136
"162",413,"2nd Quarter",40,795,35,20,"Shot","Score","",NA,"mars",5,0.927295218001612,53.130102354156,7,2,1,10,10.2,92.3926224895149
"163",423,"2nd Quarter",41,832,36,17,"Shot","Miss","",NA,"mars",5,1.5707963267949,90,8,0,0,10,10,98.3502162677455
"164",459,"2nd Quarter",44,1068,22,35,"Shot","Miss","",NA,"mars",20.1246117974981,-0.463647609000806,-26.565051177078,10,0,0,11,11,133.611223542191
"165",474,"2nd Quarter",45,1206,36,22,"Shot","Score","",NA,"mars",7.07106781186548,0.785398163397448,45,13,2,1,10,10.2,126.10329350166
"166",538,"3rd Quarter",51,274,27,20,"Shot","Miss","",NA,"mars",5,-0.927295218001612,-53.130102354156,7,0,0,10,10,114.456102220911
"167",578,"3rd Quarter",54,447,27,39,"Shot","Miss","",NA,"mars",22.3606797749979,-0.179853499792478,-10.304846468766,16,0,0,11,11,170.199365953408
"168",588,"3rd Quarter",56,505,10,21,"Shot","Score","",NA,"mars",21.3775583264319,-1.38257482149013,-79.2157021324374,6,2,1,4,4.2,91.331881546564
"169",598,"3rd Quarter",57,551,35,18,"Shot","Score","",NA,"mars",4.12310562561766,1.32581766366803,75.9637565320735,8,2,1,10,10.2,90.3087181701739
"170",606,"3rd Quarter",58,599,26,21,"Shot","Score","",NA,"mars",6.40312423743285,-0.896055384571344,-51.3401917459099,7,2,1,10,10.2,96.3078556380829
"171",619,"3rd Quarter",59,759,28,15,"Shot","Score","",NA,"mars",3.60555127546399,0.982793723247329,56.3099324740202,11,2,1,10,10.2,117.558919908142
